"id_keyword","id_publication"
1,95642604
1,392468472
1,-116038739
1,1997444565
1,-897945302
1,723053643
1,-1517650193
1,-965750843
1,-575861758
1,-843509135
1,356586634
1,-1717102525
1,-2020853634
2,-2060481158
2,1156560260
2,2034486155
2,688714278
2,-1332372481
2,1259440275
2,764206647
2,-548297539
2,-319629062
2,2042813522
2,-1719046254
2,1922960632
2,-329442783
2,1720807482
2,-1649763559
2,528806019
2,1998696501
2,86555310
2,-954257263
2,862717143
3,55499082
3,317431923
3,1103203290
3,-2037659115
3,-1713254914
3,2037104858
3,-465858168
3,-1383840317
3,1658010907
3,-1939050074
3,-646831839
3,2053238072
3,1549275141
3,-64881468
3,-894500152
3,1257891600
3,-1912330251
3,-1886878474
4,2016639171
4,-1649763559
4,1998696501
4,1913959800
4,1978203568
4,-894500152
4,-1886878474
4,1549275141
4,-2037659115
4,1353777244
4,345507177
4,-1713254914
4,368250700
4,688714278
4,-299190839
4,-2031461894
4,-1686668985
4,-329297940
4,2042813522
4,-1912330251
4,-1332372481
4,-2133300000
4,1257891600
4,528806019
4,317431923
4,2034486155
4,-1862360075
4,433875523
4,764206647
4,-319629062
4,-465858168
4,-1719046254
4,-329442783
4,862717143
4,-646831839
4,428318940
4,1564697769
4,-548297539
4,826838059
4,-1939050074
4,-1650121782
4,86555310
5,-31604820
5,-900687407
5,1121765189
5,-1667835567
5,-1100498939
5,1277299271
5,1983123640
5,985764672
5,-1454206054
5,2044064357
5,-210507594
5,2058442412
5,-1670467350
5,-1504544095
5,-391477884
6,-1910778359
6,-914893625
6,1409875769
6,159154247
6,244940360
6,-926843372
6,-1319108936
6,-428413287
6,-599789628
7,1712686599
7,991268
7,1684718683
7,1994610396
7,-969982293
7,-1873577730
7,-1977228597
7,1679807863
7,356586634
7,1483723515
7,394825052
7,-2129661423
7,-628676267
7,-525761715
7,-993388751
7,1832757603
7,435498307
7,-1449050858
7,-1116989434
7,1031821330
7,809651699
7,-1994476312
7,-678622603
7,-1429156617
7,715883750
7,403039816
7,120310091
7,1559259723
7,800680080
7,-2016016230
8,-926843372
9,-1091847869
9,1199606720
9,-2079222566
9,-1811365118
9,722500684
9,-1029792446
9,-2001491793
9,-1953783043
9,205455280
10,1700058161
10,1545686645
10,2099670551
10,-900687407
10,936157494
10,-802736174
10,-2072478479
10,402005812
10,1667668194
10,2044064357
10,399313760
10,1868624469
10,-2095845700
11,1915673234
11,1697762428
11,745348406
11,-1227122767
11,748918427
11,353884147
11,-1799235630
11,-1739725715
11,1314863741
11,-1731684922
11,946634082
11,582256633
11,-1339628038
11,-1813250613
11,1339644311
11,-1169154699
11,-263141425
11,-468892722
12,-965750843
12,133762517
12,-900687407
12,-1339628038
12,1366051446
12,1983123640
12,1697762428
